race,round,position
Emilia Romagna Grand Prix,2,4
Bahrain Grand Prix,1,6
Qatar Grand Prix,20,8
Portuguese Grand Prix,3,6
Spanish Grand Prix,4,4
Monaco Grand Prix,5,20
Azerbaijan Grand Prix,6,4
Styrian Grand Prix,8,7
French Grand Prix,7,16
Austrian Grand Prix,9,8
British Grand Prix,10,2
Hungarian Grand Prix,11,20
Belgian Grand Prix,12,8
Dutch Grand Prix,13,5
Italian Grand Prix,14,4
Russian Grand Prix,15,15
Turkish Grand Prix,16,4
United States Grand Prix,17,4
Mexico City Grand Prix,18,5
Ṣo Paulo Grand Prix,19,5
Saudi Arabian Grand Prix,21,7
Abu Dhabi Grand Prix,22,10
